code,name,latest_price,change_pct,volume,turnover,market_cap_cny,float_market_cap_cny,pe_dynamic,pb,market_cap_100m_cny,float_market_cap_100m_cny,ts_code,area,industry,market,list_date,industry_boards,concept_boards,updated_at
601000,唐山港,4.09,0.0,206290.0,83553122.0,24237048031.0,24237048031.0,12.87,1.17,242.37048031,242.37048031,601000.SH,河北,港口,主板,20100705,港口,,2026-06-29 13:11:43
300085,银之杰,34.25,-4.89,587508.0,2058744845.51,24202438324.0,22331440455.0,-280.21,57.67,242.02438324,223.31440455,300085.SZ,深圳,软件服务,创业板,20100526,软件服务,,2026-06-29 13:11:43
688169,石头科技,93.01,1.55,45920.0,421975899.0,24113886444.0,24113886444.0,18.65,1.69,241.13886444,241.13886444,688169.SH,北京,家用电器,科创板,20200221,家用电器,,2026-06-29 13:11:43
600862,中航高科,17.28,-0.75,120797.0,209890110.0,24071888569.0,24071888569.0,23.98,3.16,240.71888569,240.71888569,600862.SH,江苏,航空,主板,19940520,航空,,2026-06-29 13:11:43
601155,新城控股,10.67,2.4,138843.0,146180198.0,24067495874.0,24067495874.0,19.31,0.39,240.67495874,240.67495874,601155.SH,江苏,区域地产,主板,20151204,区域地产,,2026-06-29 13:11:43
688150,莱特光电,59.74,-6.67,107224.0,659988171.0,24041621328.0,24041621328.0,130.72,12.64,240.41621328,240.41621328,688150.SH,陕西,元器件,科创板,20220318,元器件,,2026-06-29 13:11:43
600566,济川药业,26.06,2.6,70943.0,183162757.0,24020316636.0,23939272642.0,15.01,1.79,240.20316636,239.39272642,600566.SH,湖北,中成药,主板,20010822,中成药,,2026-06-29 13:11:43
600998,九州通,4.76,3.03,227005.0,105684496.0,24002158314.0,24002158314.0,8.18,0.91,240.02158314,240.02158314,600998.SH,湖北,医药商业,主板,20101102,医药商业,,2026-06-29 13:11:43
300024,机器人,15.31,0.59,491638.0,771000209.24,23969641435.0,23963054414.0,-64.78,5.92,239.69641435,239.63054414,300024.SZ,辽宁,专用机械,创业板,20091030,专用机械,,2026-06-29 13:11:43
600906,财达证券,7.38,-3.15,859432.0,650333531.0,23948100000.0,15676853931.0,23.63,1.91,239.481,156.76853931,600906.SH,河北,证券,主板,20210507,证券,,2026-06-29 13:11:43
603203,快克智能,72.5,-4.61,151255.0,1147015984.0,23926787343.0,23482700193.0,77.61,17.41,239.26787343,234.82700193,603203.SH,江苏,专用机械,主板,20161108,专用机械,,2026-06-29 13:11:43
600737,中粮糖业,11.17,7.92,578040.0,615322212.0,23890934707.0,23890934707.0,27.66,2.05,238.90934707,238.90934707,600737.SH,新疆,食品,主板,19960731,食品,,2026-06-29 13:11:43
601865,福莱特,10.19,0.1,148049.0,150515581.0,23873951755.0,19371449305.0,156.46,1.1,238.73951755,193.71449305,601865.SH,浙江,玻璃,主板,20190215,玻璃,,2026-06-29 13:11:43
000564,供销大集,1.32,-2.94,1934743.0,254778695.72,23836643627.0,19925240973.0,-43.67,1.65,238.36643627,199.25240973,000564.SZ,陕西,百货,主板,19940110,百货,,2026-06-29 13:11:43
600816,建元信托,2.42,-2.81,444841.0,108714019.0,23823564775.0,13235313764.0,5.85,1.56,238.23564775,132.35313764,600816.SH,上海,多元金融,主板,19940128,多元金融,,2026-06-29 13:11:43
688380,中微半导,59.49,-4.82,227804.0,1374413851.0,23817713850.0,23817713850.0,116.19,7.66,238.1771385,238.1771385,688380.SH,深圳,半导体,科创板,20220805,半导体,,2026-06-29 13:11:43
600186,莲花控股,13.28,-7.13,1661822.0,2287011147.0,23807914432.0,23759756504.0,41.48,12.61,238.07914432,237.59756504,600186.SH,河南,食品,主板,19980825,食品,,2026-06-29 13:11:43
600208,衢州发展,2.79,-2.11,722698.0,203716078.0,23739944832.0,23737253980.0,18.87,0.57,237.39944832,237.3725398,600208.SH,浙江,全国地产,主板,19990623,全国地产,,2026-06-29 13:11:43
603876,XD鼎胜新,25.52,-4.67,283427.0,723501329.0,23714899276.0,23714899276.0,30.59,3.15,237.14899276,237.14899276,603876.SH,江苏,铝,主板,20180418,铝,,2026-06-29 13:11:43
600312,平高电气,17.43,0.52,148993.0,257777566.0,23651138416.0,23651138416.0,14.25,2.06,236.51138416,236.51138416,600312.SH,河南,电气设备,主板,20010221,电气设备,,2026-06-29 13:11:43
000932,华菱钢铁,3.45,1.17,1730891.0,587771216.01,23641501602.0,23641501602.0,29.89,0.43,236.41501602,236.41501602,000932.SZ,湖南,普钢,主板,19990803,普钢,,2026-06-29 13:11:43
603730,岱美股份,11.0,-1.61,156735.0,177645723.0,23634445538.0,23634445538.0,31.69,5.33,236.34445538,236.34445538,603730.SH,上海,汽车配件,主板,20170728,汽车配件,,2026-06-29 13:11:43
